Symbol,Bid,Ask,Spread,Digits,Point,TickSize,TickValue,BaseCurrency,ProfitCurrency,Description,SpreadType,Selected,Visible,SessionHigh,SessionLow,Volume,Time,GannCategory,Price360Range,DegreePerPoint
GBPNZD-,2.24054,2.2408,0.00025999999999992696,5,0.00001,0.00001,0.60161,GBP,NZD,Great Britain Pound vs New Zealand Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
GBPUSD-,1.34798,1.34801,0.00002999999999997449,5,0.00001,0.00001,1.0,GBP,USD,Great Britan Pound vs US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
GBPZAR-,23.87309,23.88357,0.010479999999997602,5,0.00001,0.00001,0.056440033593108,GBP,ZAR,Great Britain Pound vs South African Rand,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
NZDCAD-,0.82211,0.82222,0.00010999999999994348,5,0.00001,0.00001,0.7316948247225049,NZD,CAD,New Zealand Dollar vs Canadian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
NZDCHF-,0.47852,0.4786,0.0000800000000000245,5,0.00001,0.00001,1.2570552224359215,NZD,CHF,New Zealand Dollar vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
NZDJPY-,88.554,88.564,0.009999999999990905,3,0.001,0.001,0.6793062924141866,NZD,JPY,New Zealand Dollar vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
SGDJPY-,115.055,115.076,0.020999999999986585,3,0.001,0.001,0.6793062924141866,SGD,JPY,Singapore Dollar vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
USDBRL-,5.6445,5.6525,0.008000000000000007,5,0.00001,0.00001,0.17691287041132245,USD,BRL,US Dollar vs Brazilian Real,Floating,Yes,Yes,0.0,0.0,0.0,2021.11.01 03:00,SMALL,3.6,100.0
USDCNH-,7.16682,7.16799,0.0011699999999992272,5,0.00001,0.00001,0.1395091231991116,USD,CNH,US Dollar vs Chinese Renminbi,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USDHKD-,7.84828,7.8494,0.001120000000000232,5,0.00001,0.00001,0.12739827247942517,USD,HKD,US Dollar vs Hong Kong Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USDHUF-,336.972,337.125,0.15300000000002,3,0.001,0.001,0.29662588060808304,USD,HUF,US Dollar vs Hungarian Forint,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
USDMXN-,18.53778,18.54253,0.0047499999999978115,5,0.00001,0.00001,0.05393007318850233,USD,MXN,US Dollar vs Mexican Peso,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
USDPLN-,3.61897,3.62111,0.0021399999999998087,5,0.00001,0.00001,0.27615841551347514,USD,PLN,US Dollar vs Polish Zlotny,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USDSGD-,1.27928,1.27938,0.00009999999999998899,5,0.00001,0.00001,0.7816286013537808,USD,SGD,US Dollar vs Singapore Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USDTRY-,40.54573,40.56384,0.01811000000000007,5,0.00001,0.00001,0.02465249838279611,USD,TRY,US Dollar vs Turkish Lira,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
USDZAR-,17.71039,17.71792,0.0075299999999991485,5,0.00001,0.00001,0.056440033593108,USD,ZAR,South African Rand,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
XAGUSD-,39.111,39.134,0.02300000000000324,3,0.001,0.001,5.0,USD,USD,Silver vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
XAUAUD-,5106.96,5107.86,0.8999999999996362,2,0.01,0.01,0.65746,AUD,AUD,GOLD vs AUD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
XAUEUR-,2856.96,2857.28,0.3200000000001637,2,0.01,0.01,1.17526,EUR,EUR,GOLD vs EUR,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
XPDUSD-,1219.14,1225.93,6.789999999999964,2,0.01,0.01,0.5,XPD,USD,Palladium vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
XPTUSD-,1406.66,1410.23,3.5699999999999363,2,0.01,0.01,0.5,XPT,USD,Platinum vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
USDNOK-,10.1386,10.1435,0.004899999999999238,4,0.0001,0.0001,0.9858530093163108,USD,NOK,US Dollar vs Norwegian Krona,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
UKOIL.sp-,68.82,68.86,0.04000000000000625,2,0.01,0.01,10.0,USD,USD,Spot Brent Oil,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
USNGAS-,3.138,3.147,0.008999999999999897,3,0.001,0.001,10.0,USD,USD,US Natural Gas Spot,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USOIL.sp-,66.21,66.26,0.05000000000001137,2,0.01,0.01,10.0,USD,USD,Spot Crude Oil,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
UKOIL-,68.83,68.85,0.01999999999999602,2,0.01,0.01,10.0,USD,USD,Brent Crude Expiring Future 24/09/2021,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
USOIL-,66.22,66.25,0.030000000000001137,2,0.01,0.01,10.0,USD,USD, Light Sweet Crude Oil Expiry 22/10/2021,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
IN50-,18579.1,18613.2,34.10000000000218,1,0.1,0.1,0.10000000000000002,USD,USD,Nifty 50,Floating,Yes,Yes,0.0,0.0,0.0,2023.05.30 10:14,XLARGE,3600.0,0.1
USDTHB-,32.347,32.351,0.003999999999997783,5,0.00001,0.00001,0.03091094556582486,USD,THB,US Dollar vs Thai Baht,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
THBJPY-,3.8695,3.8914,0.02190000000000003,4,0.0001,0.0001,0.06793062924141866,THB,JPY,Thai Baht vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2023.03.10 23:54,SMALL,3.6,100.0
COPPER-,9868.0,9876.0,8.0,0,1.0,1.0,25.0,USD,USD,COPPER vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
ALUMINIUM-,2654.0,2660.0,6.0,0,1.0,1.0,25.0,USD,USD,ALUMINIUM vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
ZINC-,2849.0,2857.0,8.0,0,1.0,1.0,25.0,USD,USD,ZINC vs USD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:29,LARGE,360.0,1.0
.AA.N,31.86,31.88,0.019999999999999574,2,0.01,0.01,1.0,USD,USD,Alcoa,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.AAL.OQ,11.42,11.46,0.040000000000000924,2,0.01,0.01,1.0,USD,USD,American Airlines Group Inc.,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.AAP.US,59.58,59.62,0.03999999999999915,2,0.01,0.01,1.0,USD,USD,Advance Auto Parts Inc CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.AAPL.OQ,213.75,213.79,0.03999999999999204,2,0.01,0.01,1.0,USD,USD,Apple Inc.,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ABBV.N,190.78,190.92,0.13999999999998636,2,0.01,0.01,1.0,USD,USD,Abbvie,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ABNB.US,141.63,141.64,0.009999999999990905,2,0.01,0.01,1.0,USD,USD,AirBnB Inc. CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
